"Step","LunarLander_with_labels_1000_good_reward - episode_reward","LunarLander_with_labels_1000_good_reward - episode_reward__MIN","LunarLander_with_labels_1000_good_reward - episode_reward__MAX"
"215","-293.8544028159812","-293.8544028159812","-293.8544028159812"
"216","-361.07200311564253","-361.07200311564253","-361.07200311564253"
"217","-238.9307452674443","-238.9307452674443","-238.9307452674443"
"218","-482.79997609959855","-482.79997609959855","-482.79997609959855"
"219","-324.91155974386135","-324.91155974386135","-324.91155974386135"
"220","-144.47050596654418","-144.47050596654418","-144.47050596654418"
"221","-125.54022856280207","-125.54022856280207","-125.54022856280207"
"222","-380.7881365171004","-380.7881365171004","-380.7881365171004"
"223","-38.64282654954577","-38.64282654954577","-38.64282654954577"
"224","-344.13544397815565","-344.13544397815565","-344.13544397815565"
"225","-356.049724227041","-356.049724227041","-356.049724227041"
"226","-188.60275006088068","-188.60275006088068","-188.60275006088068"
"227","-282.18371983079805","-282.18371983079805","-282.18371983079805"
"228","-316.49357781095927","-316.49357781095927","-316.49357781095927"
"229","-411.9603901875291","-411.9603901875291","-411.9603901875291"
"230","-205.4856389416292","-205.4856389416292","-205.4856389416292"
"231","-335.7649894810902","-335.7649894810902","-335.7649894810902"
"232","20.38221732476005","20.38221732476005","20.38221732476005"
"233","-102.8935515806824","-102.8935515806824","-102.8935515806824"
"234","-335.5046761061419","-335.5046761061419","-335.5046761061419"
"235","-418.0339888269633","-418.0339888269633","-418.0339888269633"
"236","-301.7972559638979","-301.7972559638979","-301.7972559638979"
"237","-246.40514269296185","-246.40514269296185","-246.40514269296185"
"238","-333.09665412291884","-333.09665412291884","-333.09665412291884"
"239","-122.38848590674476","-122.38848590674476","-122.38848590674476"
"240","-309.9919578922086","-309.9919578922086","-309.9919578922086"
"241","-224.07939509001088","-224.07939509001088","-224.07939509001088"
"242","-367.2822222831253","-367.2822222831253","-367.2822222831253"
"243","-24.574461816365243","-24.574461816365243","-24.574461816365243"
"244","-258.1330333660383","-258.1330333660383","-258.1330333660383"
"245","-318.72633701241745","-318.72633701241745","-318.72633701241745"
"246","-353.47317472896793","-353.47317472896793","-353.47317472896793"
"247","-43.374470243444655","-43.374470243444655","-43.374470243444655"
"248","-218.5740076540864","-218.5740076540864","-218.5740076540864"
"249","-318.8280233485762","-318.8280233485762","-318.8280233485762"
"250","-7.420478847911564","-7.420478847911564","-7.420478847911564"
"251","-253.3667563630756","-253.3667563630756","-253.3667563630756"
"252","-259.37787627074744","-259.37787627074744","-259.37787627074744"
"253","-210.29319934022027","-210.29319934022027","-210.29319934022027"
"254","-336.7074330700885","-336.7074330700885","-336.7074330700885"
"255","-84.76558407661108","-84.76558407661108","-84.76558407661108"
"256","-103.93944932759223","-103.93944932759223","-103.93944932759223"
"257","-287.7763681166324","-287.7763681166324","-287.7763681166324"
"258","-330.8278689271553","-330.8278689271553","-330.8278689271553"
"259","-89.44505068600178","-89.44505068600178","-89.44505068600178"
"260","-170.09403170051053","-170.09403170051053","-170.09403170051053"
"261","-262.62908058003666","-262.62908058003666","-262.62908058003666"
"262","-360.13372616545837","-360.13372616545837","-360.13372616545837"
"263","-242.77418833966715","-242.77418833966715","-242.77418833966715"
"264","-148.20862838802003","-148.20862838802003","-148.20862838802003"
"265","-90.44484376584826","-90.44484376584826","-90.44484376584826"
"266","-203.45358752962468","-203.45358752962468","-203.45358752962468"
"267","-113.31640985308886","-113.31640985308886","-113.31640985308886"
"268","-294.50322538418027","-294.50322538418027","-294.50322538418027"
"269","-121.72435179797577","-121.72435179797577","-121.72435179797577"
"270","-292.6367072831945","-292.6367072831945","-292.6367072831945"
"271","-319.4032418613622","-319.4032418613622","-319.4032418613622"
"272","-88.24313245504942","-88.24313245504942","-88.24313245504942"
"273","-142.03790377858718","-142.03790377858718","-142.03790377858718"
"274","-214.67423836019805","-214.67423836019805","-214.67423836019805"
"275","-323.4955096106197","-323.4955096106197","-323.4955096106197"
"276","-103.59924465315298","-103.59924465315298","-103.59924465315298"
"277","-241.6191764064677","-241.6191764064677","-241.6191764064677"
"278","-4.234925406409937","-4.234925406409937","-4.234925406409937"
"279","-287.78443982404553","-287.78443982404553","-287.78443982404553"
"280","-412.69453306553845","-412.69453306553845","-412.69453306553845"
"281","-416.4009227567601","-416.4009227567601","-416.4009227567601"
"282","-331.9322180900941","-331.9322180900941","-331.9322180900941"
"283","-126.81720177647708","-126.81720177647708","-126.81720177647708"
"284","-379.0004575632199","-379.0004575632199","-379.0004575632199"
"285","-200.64063770323992","-200.64063770323992","-200.64063770323992"
"286","-291.121135196271","-291.121135196271","-291.121135196271"
"287","-115.27393565222623","-115.27393565222623","-115.27393565222623"
"288","-317.630533607494","-317.630533607494","-317.630533607494"
"289","-247.77216339358412","-247.77216339358412","-247.77216339358412"
"290","-147.77765436589718","-147.77765436589718","-147.77765436589718"
"291","-321.85785522070387","-321.85785522070387","-321.85785522070387"
"292","-79.34214105249404","-79.34214105249404","-79.34214105249404"
"293","-80.80480996938272","-80.80480996938272","-80.80480996938272"
"294","-274.3860170914493","-274.3860170914493","-274.3860170914493"
"295","-562.3363112820798","-562.3363112820798","-562.3363112820798"
"296","-135.2155375596543","-135.2155375596543","-135.2155375596543"
"297","-91.10226036364833","-91.10226036364833","-91.10226036364833"
"298","-377.94360717367437","-377.94360717367437","-377.94360717367437"
"299","-108.12306783765553","-108.12306783765553","-108.12306783765553"
"300","-329.62236895844717","-329.62236895844717","-329.62236895844717"
"301","-275.18189106085356","-275.18189106085356","-275.18189106085356"
"302","-110.43528350427746","-110.43528350427746","-110.43528350427746"
"303","-59.85180081434339","-59.85180081434339","-59.85180081434339"
"304","-441.55657867521046","-441.55657867521046","-441.55657867521046"
"305","-344.5546472286781","-344.5546472286781","-344.5546472286781"
"306","-147.26868293463147","-147.26868293463147","-147.26868293463147"
"307","-126.80150916598768","-126.80150916598768","-126.80150916598768"
"308","-122.463767618945","-122.463767618945","-122.463767618945"
"309","-99.66428295472363","-99.66428295472363","-99.66428295472363"
"310","-341.4509616604886","-341.4509616604886","-341.4509616604886"
"311","-313.4482962369216","-313.4482962369216","-313.4482962369216"
"312","-515.4559953042865","-515.4559953042865","-515.4559953042865"
"313","-474.55847827300437","-474.55847827300437","-474.55847827300437"
"314","-87.91543654763605","-87.91543654763605","-87.91543654763605"
"315","-141.9177626982039","-141.9177626982039","-141.9177626982039"
"316","-196.06926091413015","-196.06926091413015","-196.06926091413015"
"317","-23.875493252036435","-23.875493252036435","-23.875493252036435"
"318","-315.72053260025643","-315.72053260025643","-315.72053260025643"
"319","-340.4854870097373","-340.4854870097373","-340.4854870097373"
"320","-427.88971079115277","-427.88971079115277","-427.88971079115277"
"321","-521.0991607819869","-521.0991607819869","-521.0991607819869"
"322","-55.81159025474288","-55.81159025474288","-55.81159025474288"
"323","-265.35226548202735","-265.35226548202735","-265.35226548202735"
"324","-322.9847427105672","-322.9847427105672","-322.9847427105672"
"325","-306.20161857460687","-306.20161857460687","-306.20161857460687"
"326","-279.2457945103665","-279.2457945103665","-279.2457945103665"
"327","-273.48967329260216","-273.48967329260216","-273.48967329260216"
"328","-421.3411529922485","-421.3411529922485","-421.3411529922485"
